ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
133,Will Bruin,us USA,FW,Austin,33,1989,3.9,0,0,0,0,0,0,4,0.0,4,0,0,0,0,0,8,0,Matches
134,Noel Buck,eng ENG,MFFW,NE Revolution,17,2005,19.5,53,32,20,26,7,30,61,49.2,31,26,4,22,18,71,16,0,Matches
135,Teal Bunbury,us USA,FW,Nashville SC,32,1990,18.3,8,8,1,3,4,1,9,11.1,8,9,2,7,7,15,8,0,Matches
136,Cory Burke,jm JAM,FW,NY Red Bulls,31,1991,10.8,26,18,4,14,8,7,21,33.3,14,11,1,10,4,30,5,0,Matches
137,Roman Bürki,ch SUI,GK,St. Louis,32,1990,33.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,17,2,Matches
138,Kendall Burks,us USA,DFMF,Chicago Fire,23,1999,5.7,8,5,7,1,0,3,6,50.0,3,10,7,3,6,14,26,0,Matches
139,Sergio Busquets,es ESP,MF,Inter Miami,34,1988,10.3,37,19,16,18,3,24,37,64.9,13,12,2,10,17,54,7,1,Matches
140,Brandon Bye,us USA,DF,NE Revolution,27,1995,18.5,27,18,13,11,3,14,21,66.7,7,20,9,11,20,47,59,0,Matches
141,Nathan Byrne,eng ENG,DF,Charlotte,30,1992,28.9,41,27,25,15,1,27,56,48.2,29,29,6,23,20,61,56,1,Matches
142,Jorge Cabezas,co COL,FWMF,NY Red Bulls,19,2003,1.3,2,1,1,1,0,1,3,33.3,2,2,0,2,0,2,0,0,Matches
143,Kevin Cabral,fr FRA,FWMF,Colorado Rapids,23,1999,13.1,21,11,5,12,4,4,10,40.0,6,11,1,10,9,30,6,0,Matches
144,Rémi Cabral,fr FRA,DF,Colorado Rapids,23,1999,0.1,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
145,Martín Cáceres,uy URU,DF,LA Galaxy,35,1987,14.5,5,3,5,0,0,2,10,20.0,8,13,9,4,10,15,48,1,Matches
146,Deiber Caicedo,co COL,MFFW,Vancouver W'caps,22,2000,2.2,4,3,1,1,2,2,2,100.0,0,2,0,2,3,7,1,0,Matches
147,Luís Caicedo,co COL,MF,Houston Dynamo,26,1996,13.5,20,13,12,7,1,11,26,42.3,15,19,6,13,17,37,24,0,Matches
148,Scott Caldwell,us USA,MF,Real Salt Lake,31,1991,1.9,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,2,0,Matches
149,Lucas Calegari,br BRA,DF,LA Galaxy,20,2002,21.5,42,29,27,10,5,24,41,58.5,17,26,10,16,23,65,35,1,Matches
150,Noel Caliskan,de GER,MF,Portland Timbers,22,2000,2.9,5,4,4,1,0,2,7,28.6,5,3,1,2,2,7,1,0,Matches
Rk
151,Drake Callender,us USA,GK,Inter Miami,25,1997,33.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,11,3,Matches
152,Rudy Camacho,fr FRA,DF,Columbus Crew,31,1991,8.8,10,6,6,3,1,4,6,66.7,2,9,1,8,8,18,41,1,Matches
153,Rudy Camacho,fr FRA,DFMF,CF Montréal,31,1991,17.9,19,14,14,4,1,9,14,64.3,5,19,13,6,29,48,77,2,Matches
154,Brandon Cambridge,us USA,FWDF,Charlotte,20,2002,1.5,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,3,0,Matches
155,Leonardo Campana,ec ECU,FW,Inter Miami,22,2000,18.2,19,13,4,9,6,9,18,50.0,9,19,7,12,4,23,13,0,Matches
156,George Campbell,us USA,DF,CF Montréal,21,2001,20.6,42,29,32,7,3,26,39,66.7,13,26,10,16,25,67,51,7,Matches
157,Russell Canouse,us USA,MF,D.C. United,27,1995,24.6,67,45,31,28,8,34,61,55.7,27,35,10,25,31,98,22,0,Matches
158,Antonio Carlos,br BRA,DF,Orlando City,29,1993,15.7,9,8,7,2,0,5,13,38.5,8,16,13,3,16,25,73,0,Matches
159,Wikelman Carmona,ve VEN,FWMF,NY Red Bulls,19,2003,7.4,8,6,3,2,3,3,15,20.0,12,2,0,2,3,11,3,0,Matches
160,Julián Carranza,ar ARG,FW,Philadelphia Union,22,2000,27.6,34,14,5,21,8,7,32,21.9,25,31,4,27,12,46,19,0,Matches
161,Adalberto Carrasquilla,pa PAN,FWMF,Houston Dynamo,24,1998,22.6,11,7,3,7,1,4,28,14.3,24,19,2,17,9,20,13,0,Matches
162,Wilder Cartagena,pe PER,MF,Orlando City,28,1994,21.1,57,30,20,31,6,24,58,41.4,34,31,7,24,11,68,25,0,Matches
163,Javier Casas,us USA,MF,Chicago Fire,19,2003,0.6,1,1,0,0,1,0,0,,0,0,0,0,1,2,1,0,Matches
164,Julio Cascante,cr CRC,DF,Austin,29,1993,22.9,20,14,14,6,0,15,27,55.6,12,18,14,4,20,40,94,1,Matches
165,Cristian Cásseres Jr.,ve VEN,MF,NY Red Bulls,23,2000,16.0,41,24,15,20,6,15,40,37.5,25,19,2,17,19,60,12,0,Matches
166,Robert Castellanos,us USA,DF,Sporting KC,24,1998,7.8,7,7,5,2,0,5,8,62.5,3,10,9,1,9,16,45,0,Matches
167,Roman Celentano,us USA,GK,FC Cincinnati,22,2000,33.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,16,3,Matches
168,Edwin Cerrillo,us USA,MF,FC Dallas,22,2000,15.1,24,15,11,10,3,12,35,34.3,23,23,6,17,14,38,15,0,Matches
169,Edwin Cerrillo,us USA,MF,LA Galaxy,22,2000,9.0,10,9,6,4,0,8,15,53.3,7,8,1,7,6,16,6,1,Matches
170,Tomás Chancalay,ar ARG,FWMF,NE Revolution,24,1999,9.5,17,11,6,7,4,8,22,36.4,14,8,0,8,3,20,5,0,Matches
171,Maikel Chang,cu CUB,MFFW,Real Salt Lake,31,1991,11.3,16,8,6,6,4,8,19,42.1,11,13,0,13,5,21,10,0,Matches
172,Maxime Chanot,lu LUX,DF,NYCFC,33,1989,19.0,26,16,21,5,0,19,30,63.3,11,17,8,9,27,53,94,1,Matches
173,Diego Chará,co COL,MF,Portland Timbers,36,1986,28.5,65,40,37,25,3,26,58,44.8,32,24,9,15,30,95,32,1,Matches
174,Yimmi Chará,co COL,FW,Portland Timbers,31,1991,8.2,16,11,6,6,4,5,13,38.5,8,7,0,7,5,21,8,0,Matches
175,Yevhen Cheberko,ua UKR,DF,Columbus Crew,25,1998,2.2,4,3,3,1,0,1,3,33.3,2,0,0,0,2,6,12,1,Matches
Rk
176,Giorgio Chiellini,it ITA,DF,LAFC,38,1984,15.2,18,11,13,5,0,8,16,50.0,8,9,6,3,29,47,58,0,Matches
177,Mathieu Choiniere,ca CAN,MFDF,CF Montréal,23,1999,27.0,60,38,30,25,5,23,54,42.6,31,38,9,29,26,86,32,0,Matches
178,Léo Chú,br BRA,FW,Seattle Sounders,22,2000,22.8,33,20,11,14,8,6,30,20.0,24,10,0,10,11,44,6,0,Matches
179,José Cifuentes,ec ECU,MF,LAFC,23,1999,15.1,27,22,9,11,7,11,38,28.9,27,15,2,13,11,38,11,0,Matches
