ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,8.4,6,26,14,53.8,3.09,1.66,0.23,0.43,14.5,1,0,0,3.0,3.0,0.11,+3.0,+3.0,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,30.3,1,21,6,28.6,0.69,0.20,0.05,0.17,18.2,0,0,0,1.4,1.4,0.07,-0.4,-0.4,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,14.1,3,40,12,30.0,2.84,0.85,0.08,0.25,22.1,0,0,1,3.1,2.3,0.06,-0.1,+0.7,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,1.9,0,1,0,0.0,0.52,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
47,Scott Arfield,ca CAN,MFFW,Charlotte,34,1988,4.6,2,11,3,27.3,2.39,0.65,0.18,0.67,19.7,0,0,0,0.9,0.9,0.08,+1.1,+1.1,Matches
48,Maximilian Arfsten,us USA,DFMF,Columbus Crew,21,2001,3.1,2,6,3,50.0,1.96,0.98,0.33,0.67,12.1,0,0,0,1.0,1.0,0.16,+1.0,+1.0,Matches
49,Santiago Arias,co COL,DF,FC Cincinnati,31,1992,18.4,2,23,11,47.8,1.25,0.60,0.09,0.18,17.2,0,0,0,3.0,3.0,0.13,-1.0,-1.0,Matches
50,Xavier Arreaga,ec ECU,DFMF,Seattle Sounders,28,1994,3.9,0,5,0,0.0,1.27,0.00,0.00,,6.2,0,0,0,0.9,0.9,0.20,-0.9,-0.9,Matches
Rk
51,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,1998,13.0,2,17,3,17.6,1.31,0.23,0.12,0.67,23.5,6,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
52,Paul Arriola,us USA,FWMF,FC Dallas,27,1995,18.4,2,28,9,32.1,1.52,0.49,0.07,0.22,14.5,0,0,0,3.7,3.7,0.13,-1.7,-1.7,Matches
53,Dixon Arroyo,ec ECU,MF,Inter Miami,30,1992,19.9,1,13,4,30.8,0.65,0.20,0.08,0.25,24.7,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
54,Artur,br BRA,MF,Houston Dynamo,26,1996,30.3,2,19,5,26.3,0.63,0.17,0.11,0.40,24.1,0,0,0,1.0,1.0,0.05,+1.0,+1.0,Matches
55,Yamil Asad,ar ARG,MFFW,D.C. United,28,1994,5.8,0,11,4,36.4,1.89,0.69,0.00,0.00,22.6,1,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
56,Dairon Asprilla,co COL,FWMF,Portland Timbers,30,1992,16.1,5,35,9,25.7,2.17,0.56,0.14,0.56,16.0,0,0,0,2.9,2.9,0.08,+2.1,+2.1,Matches
57,Joshua Atencio,us USA,MF,Seattle Sounders,21,2002,10.9,1,11,3,27.3,1.01,0.27,0.09,0.33,20.8,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
58,Julián Aude,ar ARG,DF,LA Galaxy,19,2003,13.3,0,11,1,9.1,0.83,0.08,0.00,0.00,22.2,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
59,Tomás Avilés,ar ARG,DF,Inter Miami,18,2004,9.7,1,6,2,33.3,0.62,0.21,0.17,0.50,17.7,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
60,David Ayala,ar ARG,MF,Portland Timbers,20,2002,1.8,0,4,1,25.0,2.25,0.56,0.00,0.00,17.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
61,Edison Azcona,do DOM,MFDF,Inter Miami,19,2003,0.6,0,2,2,100.0,3.53,3.53,0.00,0.00,15.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
62,Dominique Badji,sn SEN,FW,FC Cincinnati,30,1992,10.2,5,21,12,57.1,2.06,1.18,0.24,0.42,12.9,0,0,0,3.9,3.9,0.19,+1.1,+1.1,Matches
63,Corey Baird,us USA,FW,Houston Dynamo,27,1996,25.9,8,36,17,47.2,1.39,0.66,0.22,0.47,14.0,0,0,0,7.3,7.3,0.22,+0.7,+0.7,Matches
64,Esmir Bajraktarevic,ba BIH,FWMF,NE Revolution,17,2005,5.5,0,15,5,33.3,2.73,0.91,0.00,0.00,14.5,0,0,0,1.8,1.8,0.12,-1.8,-1.8,Matches
65,Cody Baker,us USA,DF,Seattle Sounders,19,2004,7.6,0,1,0,0.0,0.13,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
66,Reed Baker-Whiting,us USA,DFFW,Seattle Sounders,17,2005,7.1,0,3,1,33.3,0.42,0.14,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
67,Monsef Bakrar,dz ALG,FW,NYCFC,22,2001,8.4,3,27,8,29.6,3.22,0.95,0.11,0.38,14.7,0,0,1,5.8,5.2,0.19,-2.8,-2.2,Matches
68,Michael Baldisimo,ph PHI,MF,SJ Earthquakes,22,2000,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Tai Baribo,il ISR,FWMF,Philadelphia Union,25,1998,1.7,0,2,1,50.0,1.18,0.59,0.00,0.00,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
70,Tom Barlow,us USA,FW,NY Red Bulls,27,1995,20.5,3,32,15,46.9,1.56,0.73,0.09,0.20,12.1,0,0,0,6.9,6.9,0.22,-3.9,-3.9,Matches
71,Luis Barraza,us USA,GK,NYCFC,26,1996,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
