ranker,player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
43,Cristian Arango,co COL,FW,Real Salt Lake,27,1995,8.4,24,2.85,18,1,1,1,1,2,4,0.47,2,0,1,0,1,0,Matches
44,César Araujo,uy URU,MF,Orlando City,21,2001,30.3,62,2.04,48,2,2,3,5,2,9,0.30,5,1,0,1,2,0,Matches
45,Luiz Araújo,br BRA,FW,Atlanta Utd,26,1996,14.1,57,4.05,39,2,7,4,5,0,4,0.28,3,0,1,0,0,0,Matches
46,Miguel Araujo,pe PER,DF,Portland Timbers,28,1994,1.9,2,1.05,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
47,Scott Arfield,ca CAN,MFFW,Charlotte,34,1988,4.6,11,2.39,8,0,1,2,0,0,1,0.22,1,0,0,0,0,0,Matches
48,Maximilian Arfsten,us USA,DFMF,Columbus Crew,21,2001,3.1,7,2.29,4,0,0,1,1,1,1,0.33,1,0,0,0,0,0,Matches
49,Santiago Arias,co COL,DF,FC Cincinnati,31,1992,18.4,38,2.07,28,2,1,4,3,0,3,0.16,2,0,0,0,1,0,Matches
50,Xavier Arreaga,ec ECU,DFMF,Seattle Sounders,28,1994,3.9,3,0.76,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk
51,Kervin Arriaga,hn HON,MF,Minnesota Utd,25,1998,13.0,20,1.54,18,0,0,2,0,0,4,0.31,4,0,0,0,0,0,Matches
52,Paul Arriola,us USA,FWMF,FC Dallas,27,1995,18.4,45,2.45,40,0,1,2,2,0,5,0.27,4,0,0,1,0,0,Matches
53,Dixon Arroyo,ec ECU,MF,Inter Miami,30,1992,19.9,25,1.26,19,1,0,4,0,1,2,0.10,1,0,0,1,0,0,Matches
54,Artur,br BRA,MF,Houston Dynamo,26,1996,30.3,39,1.29,30,0,1,4,0,4,4,0.13,4,0,0,0,0,0,Matches
55,Yamil Asad,ar ARG,MFFW,D.C. United,28,1994,5.8,18,3.09,15,1,0,0,2,0,2,0.34,2,0,0,0,0,0,Matches
56,Dairon Asprilla,co COL,FWMF,Portland Timbers,30,1992,16.1,40,2.49,28,0,5,2,4,1,8,0.50,6,0,2,0,0,0,Matches
57,Joshua Atencio,us USA,MF,Seattle Sounders,21,2002,10.9,23,2.11,21,0,1,0,0,1,1,0.09,1,0,0,0,0,0,Matches
58,Julián Aude,ar ARG,DF,LA Galaxy,19,2003,13.3,24,1.81,22,0,1,1,0,0,2,0.15,2,0,0,0,0,0,Matches
59,Tomás Avilés,ar ARG,DF,Inter Miami,18,2004,9.7,5,0.51,4,0,0,1,0,0,2,0.21,1,0,0,1,0,0,Matches
60,David Ayala,ar ARG,MF,Portland Timbers,20,2002,1.8,3,1.69,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
61,Edison Azcona,do DOM,MFDF,Inter Miami,19,2003,0.6,3,5.29,0,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
