ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
177,Mateusz Bogusz,pl POL,MFFW,LAFC,21,$12500 (€ 11455 £ 9848),$650000 (€ 595663 £ 512088),
178,Stipe Biuk, ,LW,LAFC,20,$12500 (€ 11455 £ 9848),$650000 (€ 595663 £ 512088),
179,Michael Boxall,nz NZL,DF,Minnesota Utd,34,$12500 (€ 11455 £ 9848),$650000 (€ 595663 £ 512088),
180,Diego Chará,co COL,MF,Portland Timbers,36,$12500 (€ 11455 £ 9848),$650000 (€ 595663 £ 512088),
181,Michael Barrios,co COL,FWMF,LA Galaxy,31,$12500 (€ 11455 £ 9848),$650000 (€ 595663 £ 512088),
182,Facundo Torres,uy URU,FWMF,Orlando City,22,$12308 (€ 11279 £ 9696),$640000 (€ 586499 £ 504210),
183,Kai Wagner,de GER,DF,Philadelphia Union,25,$12115 (€ 11103 £ 9545),$630000 (€ 577335 £ 496332),
184,Raoul Petretta,it ITA,DF,Toronto FC,25,$12019 (€ 11014 £ 9469),$625000 (€ 572753 £ 492392),
185,David Romney,us USA,DF,NE Revolution,29,$12019 (€ 11014 £ 9469),$625000 (€ 572753 £ 492392),
186,Marinos Tzionis,cy CYP,FWMF,Sporting KC,21,$12019 (€ 11014 £ 9469),$625000 (€ 572753 £ 492392),
187,Tim Melia,us USA,GK,Sporting KC,36,$12019 (€ 11014 £ 9469),$625000 (€ 572753 £ 492392),
188,Eryk Williamson,us USA,MF,Portland Timbers,25,$12019 (€ 11014 £ 9469),$625000 (€ 572753 £ 492392),
189,Guzmán Corujo,uy URU,DF,Charlotte,26,$12019 (€ 11014 £ 9469),$625000 (€ 572753 £ 492392),
190,Julio Cascante,cr CRC,DF,Austin,29,$11923 (€ 10926 £ 9393),$620000 (€ 568171 £ 488453),
191,Michael Bradley,us USA,MFDF,Toronto FC,35,$11813 (€ 10826 £ 9307),$614286 (€ 562934 £ 483952),
192,Artur,br BRA,MF,Houston Dynamo,26,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
193,C.J. Sapong,us USA,FW,Toronto FC,34,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
194,Latif Blessing,gh GHA,FWMF,Toronto FC,26,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
195,Prince Osei Owusu,de GER,FW,Toronto FC,26,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
196,Brad Guzan,us USA,GK,Atlanta Utd,38,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
197,Tai Baribo, ,CF,Philadelphia Union,25,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
198,Alfredo Morales,us USA,MF,NYCFC,32,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
199,Birk Risa,no NOR,DF,NYCFC,24,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
200,Bakaye Dibassy,ml MLI,DF,Minnesota Utd,33,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
Rk
201,Leo Väisänen, ,CB,Austin,26,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
202,Cade Cowell,us USA,FW,SJ Earthquakes,19,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
203,Rodrigues,br BRA,DF,SJ Earthquakes,25,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
204,Yerson Mosquera,co COL,DF,FC Cincinnati,21,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
205,Marcelo Silva,uy URU,DF,Real Salt Lake,33,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
206,Rubio Rubin,gt GUA,FWMF,Real Salt Lake,26,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
207,Arnaud Souquet,fr FRA,DF,Chicago Fire,30,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
208,Chris Mueller,us USA,FWMF,Chicago Fire,26,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
209,Yaw Yeboah,gh GHA,DFMF,Columbus Crew,25,$11538 (€ 10574 £ 9090),$600000 (€ 549843 £ 472697),
210,Pedro Vite,ec ECU,MFFW,Vancouver W'caps,20,$11385 (€ 10433 £ 8969),$592000 (€ 542511 £ 466394),
