ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
189,Maximiliano Moralez,ar ARG,MF,NYCFC,37,$9231 (€ 8096 £ 6884),$480000 (€ 420984 £ 357977),
190,Franco Escobar,ar ARG,DF,Houston Dynamo,29,$9135 (€ 8012 £ 6812),$475000 (€ 416598 £ 354248),
191,Griffin Dorsey,us USA,DF,Houston Dynamo,25,$9135 (€ 8012 £ 6812),$475000 (€ 416598 £ 354248),
192,Rudy Camacho,fr FRA,CB,Columbus Crew,34,$9135 (€ 8012 £ 6812),$475000 (€ 416598 £ 354248),
193,Brayan Vera,co COL,DF,Real Salt Lake,26,$9135 (€ 8012 £ 6812),$475000 (€ 416598 £ 354248),
194,Connor Ronan,ie IRL,MF,Colorado Rapids,26,$9038 (€ 7927 £ 6741),$470000 (€ 412213 £ 350519),
195,Alex Roldan,sv SLV,MFDF,Seattle Sounders,28,$8942 (€ 7843 £ 6669),$465000 (€ 407828 £ 346790),
196,Show,ao ANG,MF,FC Dallas,25,$8885 (€ 7792 £ 6626),$462000 (€ 405197 £ 344553),
197,Sebastian Kowalczyk, ,AM,Houston Dynamo,26,$8865 (€ 7775 £ 6612),$461000 (€ 404320 £ 343807),
198,Dayne St. Clair,ca CAN,GK,Minnesota Utd,27,$8846 (€ 7759 £ 6597),$460000 (€ 403443 £ 343061),
199,Bill Tuiloma,nz NZL,DFMF,Charlotte,29,$8846 (€ 7759 £ 6597),$460000 (€ 403443 £ 343061),
200,Brad Stuver,us USA,GK,Austin,33,$8827 (€ 7742 £ 6583),$459000 (€ 402566 £ 342316),
201,Daniel Steres,us USA,DF,Houston Dynamo,34,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
202,Ibrahim Aliyu, ,CF,Houston Dynamo,23,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
203,Lawrence Ennali,de GER,LW,Houston Dynamo,23,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
204,Henry Wingo,us USA,DF,Toronto FC,29,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
205,Ronald Hernández,ve VEN,DFFW,Atlanta Utd,27,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
206,Robert Voloder,ba BIH,DF,Sporting KC,23,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
207,Sean Nealis,us USA,DF,NY Red Bulls,28,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
208,Bjørn Inge Utvik, ,CB,Vancouver W'caps,29,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
209,Chris Durkin,us USA,MFFW,St. Louis,24,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
210,Pavel Bucha, ,CM,FC Cincinnati,27,$8654 (€ 7590 £ 6454),$450000 (€ 394672 £ 335603),
211,Damir Kreilach,hr CRO,FW,Vancouver W'caps,35,$8462 (€ 7421 £ 6311),$440000 (€ 385902 £ 328146),
212,Sean Johnson,us USA,GK,Toronto FC,35,$8193 (€ 7186 £ 6110),$426039 (€ 373657 £ 317734),
213,Daniel,br BRA,GK,SJ Earthquakes,30,$8173 (€ 7168 £ 6095),$425000 (€ 372746 £ 316959),
214,Antony,br BRA,FWMF,Portland Timbers,23,$8173 (€ 7168 £ 6095),$425000 (€ 372746 £ 316959),
215,Noah Eile, ,CB,NY Red Bulls,22,$8077 (€ 7084 £ 6024),$420000 (€ 368361 £ 313230),
216,Deybi Flores,hn HON,MF,Toronto FC,28,$7692 (€ 6747 £ 5737),$400000 (€ 350820 £ 298314),
217,Derrick Williams,ie IRL,DF,Atlanta Utd,32,$7692 (€ 6747 £ 5737),$400000 (€ 350820 £ 298314),
218,Edwin Mosquera,co COL,FW,Atlanta Utd,23,$7692 (€ 6747 £ 5737),$400000 (€ 350820 £ 298314),
219,Keegan Rosenberry,us USA,DF,Colorado Rapids,31,$7692 (€ 6747 £ 5737),$400000 (€ 350820 £ 298314),
220,David Schnegg,at AUT,DFMF,D.C. United,26,$7692 (€ 6747 £ 5737),$400000 (€ 350820 £ 298314),
221,Logan Ndenbe,be BEL,DF,Sporting KC,24,$7692 (€ 6747 £ 5737),$400000 (€ 350820 £ 298314),
222,Wil Trapp,us USA,MF,Minnesota Utd,32,$7692 (€ 6747 £ 5737),$400000 (€ 350820 £ 298314),
223,David Ayala,ar ARG,MF,Portland Timbers,22,$7692 (€ 6747 £ 5737),$400000 (€ 350820 £ 298314),
224,Edwin Cerrillo,us USA,MFDF,LA Galaxy,24,$7692 (€ 6747 £ 5737),$400000 (€ 350820 £ 298314),
